Start_Date,End_Date,Start_Frequency,End_Frequency,Flare_Location,Flare_Region,Importance,CME_Date,CPA,width,isHalo,WidthLimit
2003-11-04 20:00:00,2003-11-04 23:00:00,10000,200,S19W83,10486,X28,2003-11-04 19:54:00,,360,True,
2001-04-02 22:05:00,2001-04-03 02:30:00,14000,250,N19W72,9393,X20,2001-04-02 22:06:00,261.0,244,False,
2003-10-28 11:10:00,2003-10-29 23:00:00,14000,40,S16E08,10486,X17,2003-10-28 11:30:00,,360,True,
2001-04-15 14:05:00,2001-04-16 13:00:00,14000,40,S20W85,9415,X14,2001-04-15 14:06:00,245.0,167,False,
2003-10-29 20:55:00,2003-10-29 23:00:00,11000,500,S15W02,10486,X10,2003-10-29 20:54:00,,360,True,
1997-11-06 12:20:00,1997-11-07 08:30:00,14000,100,S18W63,8100,X9.4,1997-11-06 12:10:00,,360,True,
2017-09-06 12:05:00,2017-09-07 08:00:00,16000,70,S08W33,12673,X9.3,2017-09-06 12:24:00,,360,True,
2006-12-05 10:50:00,2006-12-05 20:00:00,14000,250,S07E68,10930,X9.0,,,----,True,
2003-11-02 17:30:00,2003-11-03 01:00:00,12000,250,S14W56,10486,X8.3,2003-11-02 17:30:00,,360,True,
2017-09-10 16:02:00,2017-09-11 06:50:00,16000,150,S09W92,-----,X8.3,2017-09-10 16:00:00,,360,True,
2005-01-20 07:15:00,2005-01-20 16:30:00,14000,25,N14W61,10720,X7.1,2005-01-20 06:54:00,,360,True,
2011-08-09 08:20:00,2011-08-09 08:35:00,16000,4000,N17W69,11263,X6.9,2011-08-09 08:12:00,,360,True,
2006-12-06 19:00:00,2006-12-08 23:00:00,16000,30,S05E64,10930,X6.5,,,----,True,
2005-09-09 19:45:00,2005-09-09 22:00:00,10000,50,S12E67,10808,X6.2,2005-09-09 19:48:00,,360,True,
2000-07-14 10:30:00,2000-07-15 14:30:00,14000,80,N22W07,9077,X5.7,2000-07-14 10:54:00,,360,True,
2001-04-06 19:35:00,2001-04-07 01:50:00,14000,230,S21E31,9415,X5.6,2001-04-06 19:30:00,,360,True,
2012-03-07 01:00:00,2012-03-08 19:00:00,16000,30,N17E27,11429,X5.4,2012-03-07 00:24:00,,360,True,
2001-08-25 16:50:00,2001-08-25 23:00:00,8000,170,S17E34,9591,X5.3,2001-08-25 16:50:00,,360,True,
2014-02-25 00:56:00,2014-02-25 11:28:00,14000,100,S12E82,11990,X4.9,2014-02-25 01:25:00,,360,True,
2002-07-23 00:50:00,2002-07-23 04:00:00,11000,400,S13E72,10039,X4.8,2002-07-23 00:42:00,,360,True,
2000-11-26 17:00:00,2000-11-26 17:15:00,14000,7000,N18W38,9236,X4.0,2000-11-26 17:06:00,,360,True,
2003-11-03 10:00:00,2003-11-03 12:30:00,6000,400,N08W77,10488,X3.9,2003-11-03 10:06:00,293.0,103,False,
2005-01-17 10:00:00,2005-01-17 10:35:00,6100,1500,N15W25,10720,X3.8,2005-01-17 09:54:00,,360,True,
2003-05-28 01:00:00,2003-05-29 00:30:00,1000,200,S07W20,10365,X3.6,2003-05-28 00:50:00,,360,True,
2001-12-28 20:35:00,2001-12-29 03:00:00,14000,350,S26E90,9756,X3.4,2001-12-28 20:30:00,,360,True,
2006-12-13 02:45:00,2006-12-13 10:40:00,12000,150,S06W23,10930,X3.4,2006-12-13 02:54:00,,360,True,
2002-07-20 21:30:00,2002-07-20 22:20:00,10000,2000,S13E90,10039,X3.3,2002-07-20 22:06:00,,360,True,
2013-05-14 01:16:00,2013-05-14 08:20:00,16000,240,N08E77,11748,X3.2,2013-05-14 01:25:00,,360,True,
2002-08-24 01:45:00,2002-08-24 03:25:00,5000,400,S02W81,10069,X3.1,2002-08-24 01:27:00,,360,True,
2013-05-13 16:15:00,2013-05-13 19:10:00,16000,300,N11E85,11748,X2.8,2013-05-13 16:07:00,,360,True,
1998-05-06 08:25:00,1998-05-06 08:35:00,14000,5000,S11W65,8210,X2.7,1998-05-06 08:29:00,309.0,190,False,
2003-11-03 01:15:00,2003-11-03 01:25:00,3000,1500,N10W83,10488,X2.7,2003-11-03 01:59:00,304.0,65,False,
